date,calendar_year,density_280_kg_m3,temperature_280_K,f107_sfu,ap_nt
2015-11-03,2015.838467,2.5834782521419423e-11,837.7042239744289,nan,nan
2015-11-08,2015.852156,2.553146507869407e-11,834.8714276375264,nan,nan
2015-11-13,2015.865845,2.1862261025233683e-11,794.0702609841262,nan,nan
2015-11-18,2015.879535,2.6134008036400643e-11,844.9716018918687,nan,nan
2015-11-23,2015.893224,2.1907309715803227e-11,799.5813197036302,nan,nan
2015-11-28,2015.906913,2.1585987637754188e-11,798.4590349763862,nan,nan
2015-12-03,2015.920602,1.9705395596618987e-11,778.7492315518939,nan,nan
2015-12-08,2015.934292,2.4961399933819723e-11,845.0723439745042,nan,nan
2015-12-13,2015.947981,2.635117196296023e-11,863.0614726312087,nan,nan
2015-12-18,2015.961670,2.4673080364252677e-11,844.6946464075486,nan,nan
2015-12-23,2015.975359,2.200573141451266e-11,815.8911991933253,nan,nan
2015-12-28,2015.989049,2.153970888451656e-11,813.9354088619327,nan,nan
2016-01-02,2016.002738,1.680816939615512e-11,755.6067374407158,nan,nan
2016-01-07,2016.016427,1.7413702506145438e-11,763.9036118207514,nan,nan
2016-01-12,2016.030116,2.439195965111691e-11,851.1866715638109,nan,nan
2016-01-17,2016.043806,1.5883289118025516e-11,742.4128297368048,nan,nan
2016-01-22,2016.057495,2.3757807105550196e-11,841.3248525389132,nan,nan
2016-01-27,2016.071184,1.773858118253224e-11,764.5119643641196,nan,nan
2016-02-01,2016.084873,1.9814993560025936e-11,787.7308145947984,nan,nan
2016-02-06,2016.098563,2.3718884951551607e-11,829.545391975095,nan,nan
2016-02-11,2016.112252,2.101397766176712e-11,794.2626450819644,nan,nan
2016-02-16,2016.125941,2.16154183151399e-11,798.0758354509442,nan,nan
2016-02-21,2016.139630,1.8941380798220043e-11,763.3747896445909,nan,nan
2016-02-26,2016.153320,1.6972133631441262e-11,736.6902113551864,nan,nan
2016-03-02,2016.167009,1.9845360545474993e-11,771.2109500353414,nan,nan
2016-03-07,2016.180698,3.928588243747441e-11,978.0823310212286,nan,nan
2016-03-12,2016.194387,2.8506586123208562e-11,866.6750168160588,nan,nan
2016-03-17,2016.208077,1.8670411649647743e-11,754.322551053973,nan,nan
2016-03-22,2016.221766,1.910733668429589e-11,759.0341275221051,nan,nan
2016-03-27,2016.235455,1.6121358200152027e-11,721.9592520847027,nan,nan
2016-04-01,2016.249144,1.6160079301310845e-11,723.0205348830507,nan,nan
2016-04-06,2016.262834,1.5920556940814662e-11,720.8774588960396,nan,nan
2016-04-11,2016.276523,1.731849096093613e-11,740.945627940959,nan,nan
2016-04-16,2016.290212,1.965476030664079e-11,773.1203798784127,nan,nan
2016-04-21,2016.303901,1.40942854406095e-11,704.7830600975462,nan,nan
2016-04-26,2016.317591,1.5488056689113084e-11,727.3215475427653,nan,nan
2016-05-01,2016.331280,1.951814075389648e-11,783.3449028513771,nan,nan
2016-05-06,2016.344969,1.958553673359135e-11,789.387888135172,nan,nan
2016-05-11,2016.358658,1.7725079906909533e-11,770.4407273709819,nan,nan
2016-05-16,2016.372348,2.13974995555083e-11,823.8469003527155,nan,nan
2016-05-21,2016.386037,1.4100475684006547e-11,729.8145270113325,nan,nan
2016-05-26,2016.399726,1.4574862770129116e-11,741.0296093686593,nan,nan
2016-05-31,2016.413415,1.5513356239883442e-11,760.3587624025544,nan,nan
2016-06-05,2016.427105,1.4001306038722604e-11,743.4260957607512,nan,nan
2016-06-10,2016.440794,1.2707524545130387e-11,728.3546553373876,nan,nan
2016-06-15,2016.454483,1.4930823603955743e-11,771.0750049687524,nan,nan
2016-06-20,2016.468172,1.3041391940186316e-11,746.058080308695,nan,nan
2016-06-25,2016.481862,1.3042279623159119e-11,750.9322057970076,nan,nan
2016-06-30,2016.495551,1.0634124911490099e-11,711.3749256972159,nan,nan
2016-07-05,2016.509240,1.0142344018551361e-11,704.8085516256388,nan,nan
2016-07-10,2016.522930,1.4316151657523544e-11,782.1811544432536,nan,nan
2016-07-15,2016.536619,1.3847567678596297e-11,776.4191323979304,nan,nan
2016-07-20,2016.550308,1.2453674476671584e-11,753.1162300853506,nan,nan
2016-07-25,2016.563997,1.371744178643669e-11,776.1659291085232,nan,nan
2016-07-30,2016.577687,1.23500337104899e-11,751.6023956949504,nan,nan
2016-08-04,2016.591376,1.4352865111400725e-11,785.6952831082663,nan,nan
2016-08-09,2016.605065,1.5917751567619316e-11,808.9762750647408,nan,nan
2016-08-14,2016.618754,1.218423511395949e-11,741.9871577124579,nan,nan
2016-08-19,2016.632444,1.1688020697015285e-11,729.4595543425539,nan,nan
2016-08-24,2016.646133,1.4086674092620446e-11,766.0944751959007,nan,nan
2016-08-29,2016.659822,1.0259046289727422e-11,694.6346742522989,nan,nan
2016-09-03,2016.673511,1.8110685341262183e-11,817.6046517544039,nan,nan
2016-09-08,2016.687201,1.655279179858963e-11,788.1545176057239,nan,nan
2016-09-13,2016.700890,1.3176723986247726e-11,729.9458813109678,nan,nan
2016-09-18,2016.714579,1.1337719715695264e-11,694.6076927039319,nan,nan
2016-09-23,2016.728268,1.1572903063873209e-11,693.5669456572084,nan,nan
2016-09-28,2016.741958,2.1720552179048448e-11,833.1609439336225,nan,nan
2016-10-03,2016.755647,1.4856716333515044e-11,735.7449705184222,nan,nan
2016-10-08,2016.769336,1.649902998169981e-11,755.1709696692044,nan,nan
2016-10-13,2016.783025,1.5255763739663108e-11,734.2672693315089,nan,nan
2016-10-18,2016.796715,1.8224733946123622e-11,771.4196411296425,nan,nan
2016-10-23,2016.810404,1.4679238551018915e-11,721.8402232143206,nan,nan
2016-10-28,2016.824093,2.1455495372940244e-11,809.5189549766687,nan,nan
2016-11-02,2016.837782,1.4710636851560025e-11,721.5724313324334,nan,nan
2016-11-07,2016.851472,1.3002871207087796e-11,697.5756164529575,nan,nan
2016-11-12,2016.865161,1.668980057951385e-11,750.8117994082821,nan,nan
2016-11-17,2016.878850,1.2326314258124614e-11,689.8906260297231,nan,nan
2016-11-22,2016.892539,1.360522977574888e-11,710.3670361137031,nan,nan
2016-11-27,2016.906229,1.5589788678636034e-11,741.1025891091676,nan,nan
2016-12-02,2016.919918,1.0825861208151855e-11,671.9775121231542,nan,nan
2016-12-07,2016.933607,1.3372132491341955e-11,715.7378255049246,nan,nan
2016-12-12,2016.947296,1.4003636554621874e-11,728.5745399611608,nan,nan
2016-12-17,2016.960986,8.734340872364352e-12,643.6013144461592,nan,nan
2016-12-22,2016.974675,1.7694276517333194e-11,789.6438509442022,nan,nan
2016-12-27,2016.988364,1.5369723292900496e-11,759.1690596200785,nan,nan
2017-01-01,2017.002053,1.4007542904234981e-11,740.7246287982832,nan,nan
2017-01-06,2017.015743,1.4854698486364267e-11,755.943702913584,nan,nan
2017-01-11,2017.029432,1.2679827767123866e-11,722.5497188913989,nan,nan
2017-01-16,2017.043121,9.583925922657558e-12,669.6666729713445,nan,nan
2017-01-21,2017.056810,1.0368462416648147e-11,684.1236848390092,nan,nan
2017-01-26,2017.070500,9.64247153345583e-12,670.5361674485409,nan,nan
2017-01-31,2017.084189,1.1682950450041432e-11,705.7514242266097,nan,nan
2017-02-05,2017.097878,1.1179702035568848e-11,695.7540230303621,nan,nan
2017-02-10,2017.111567,1.0937624429243118e-11,690.1569998023585,nan,nan
2017-02-15,2017.125257,9.995966363721134e-12,671.643928043004,nan,nan
2017-02-20,2017.138946,1.4186051566701654e-11,739.0232710401312,nan,nan
2017-02-25,2017.152635,1.519825498575507e-11,753.201805957568,nan,nan
2017-03-02,2017.166324,1.7225190406046355e-11,779.0567756465045,nan,nan
2017-03-07,2017.180014,1.6596304249686845e-11,766.430017791185,nan,nan
2017-03-12,2017.193703,1.0496993634456799e-11,669.9105027236201,nan,nan
2017-03-17,2017.207392,9.299935725461852e-12,646.5087815356064,nan,nan
2017-03-22,2017.221081,1.910592437765274e-11,790.008215616853,nan,nan
2017-03-27,2017.234771,1.019028805645366e-11,657.7547505503076,nan,nan
2017-04-01,2017.248460,1.6422984917517967e-11,750.1506265256595,nan,nan
2017-04-06,2017.262149,1.4622500894463034e-11,723.741654872744,nan,nan
2017-04-11,2017.275838,1.1786754772880216e-11,681.0259220928033,nan,nan
2017-04-16,2017.289528,1.1838852698368867e-11,682.0354813652634,nan,nan
2017-04-21,2017.303217,1.684797406788903e-11,755.6210562057579,nan,nan
2017-04-26,2017.316906,1.5359344156563695e-11,737.4590954899018,nan,nan
2017-05-01,2017.330595,1.2873320193575536e-11,703.6108481050817,nan,nan
2017-05-06,2017.344285,1.0284335345471638e-11,664.8010473235586,nan,nan
2017-05-11,2017.357974,1.0904037595279946e-11,678.4496000792928,nan,nan
2017-05-16,2017.371663,1.4331043865711223e-11,735.7921644562396,nan,nan
2017-05-21,2017.385352,1.668125955339276e-11,775.4567104654486,nan,nan
2017-05-26,2017.399042,1.1433343540262133e-11,699.5110308007954,nan,nan
2017-05-31,2017.412731,1.0898426529451613e-11,695.7583616379586,nan,nan
2017-06-05,2017.426420,9.20517907595614e-12,670.2712225477908,nan,nan
2017-06-10,2017.440110,1.0316298612788407e-11,697.4671317393093,nan,nan
2017-06-15,2017.453799,1.1364510145796675e-11,722.0738538575278,nan,nan
2017-06-20,2017.467488,9.875877045959264e-12,698.7475264726309,nan,nan
2017-06-25,2017.481177,1.0736338088060402e-11,720.0847142994128,nan,nan
2017-06-30,2017.494867,8.891928123292121e-12,686.908862247896,nan,nan
2017-07-05,2017.508556,8.557146027672689e-12,682.7086805175097,nan,nan
2017-07-10,2017.522245,1.1727457889391564e-11,749.7106946437391,nan,nan
2017-07-15,2017.535934,9.370240477784854e-12,705.0877786220102,nan,nan
2017-07-20,2017.549624,8.994513156310968e-12,698.269553481872,nan,nan
2017-07-25,2017.563313,9.398084265247267e-12,707.7176144827536,nan,nan
2017-07-30,2017.577002,8.2483194640888e-12,685.9725995901149,nan,nan
2017-08-04,2017.590691,1.27995126126943e-11,779.984086926702,nan,nan
2017-08-09,2017.604381,1.007315368783994e-11,723.3801753689905,nan,nan
2017-08-14,2017.618070,1.0210255747311855e-11,722.8781646769969,nan,nan
2017-08-19,2017.631759,1.2093283883752448e-11,756.0967113007332,nan,nan
2017-08-24,2017.645448,1.4226204729983926e-11,787.5076872564799,nan,nan
2017-08-29,2017.659138,9.684183867928656e-12,696.900627162942,nan,nan
2017-09-03,2017.672827,1.4151864340855599e-11,772.4464633613943,nan,nan
2017-09-08,2017.686516,1.5702043509248937e-11,791.1915978441015,nan,nan
2017-09-13,2017.700205,1.3051125655820241e-11,741.5010133096246,nan,nan
2017-09-18,2017.713895,1.5312304674643204e-11,771.1129826971735,nan,nan
2017-09-23,2017.727584,1.057064147622017e-11,687.1825720181232,nan,nan
2017-09-28,2017.741273,1.603031058102359e-11,769.4150328899258,nan,nan
2017-10-03,2017.754962,1.2937462147742753e-11,716.4966790197357,nan,nan
2017-10-08,2017.768652,1.2339794363671982e-11,702.6680976117336,nan,nan
2017-10-13,2017.782341,1.677639665310011e-11,763.9439019712596,nan,nan
2017-10-18,2017.796030,1.0842108198374413e-11,669.104909286967,nan,nan
2017-10-23,2017.809719,1.1557941323344858e-11,677.2783255786288,nan,nan
2017-10-28,2017.823409,1.0869619726220469e-11,665.6554958752943,nan,nan
2017-11-02,2017.837098,1.1997981519710877e-11,683.3955389703542,nan,nan
2017-11-07,2017.850787,9.484908944422495e-12,642.2331514680784,nan,nan
2017-11-12,2017.864476,1.0052621126197528e-11,652.6850570347767,nan,nan
2017-11-17,2017.878166,1.0644307388819421e-11,664.1421108475101,nan,nan
2017-11-22,2017.891855,1.5008814545899017e-11,732.9345255172773,nan,nan
2017-11-27,2017.905544,1.086655793353002e-11,672.304251217952,nan,nan
2017-12-02,2017.919233,1.3625692622883737e-11,718.7897720277364,nan,nan
2017-12-07,2017.932923,1.2583190901948596e-11,706.1535423252601,nan,nan
2017-12-12,2017.946612,1.0594827358757599e-11,677.045011653943,nan,nan
2017-12-17,2017.960301,9.415594868352874e-12,659.1818108919433,nan,nan
2017-12-22,2017.973990,9.342318806487485e-12,660.9806452470815,nan,nan
2017-12-27,2017.987680,9.21500559617652e-12,661.1239637273584,nan,nan
2018-01-01,2018.001369,8.857010083341166e-12,656.7835431557473,nan,nan
2018-01-06,2018.015058,8.370400883987738e-12,649.8507414652929,nan,nan
2018-01-11,2018.028747,8.396007510506957e-12,652.0026468515716,nan,nan
2018-01-16,2018.042437,9.61345260498792e-12,676.9168864901678,nan,nan
2018-01-21,2018.056126,8.439096878345469e-12,654.5202945161197,nan,nan
2018-01-26,2018.069815,1.1290882691669995e-11,708.0921053619978,nan,nan
2018-01-31,2018.083504,6.8652639260244155e-12,620.2671988023662,nan,nan
2018-02-05,2018.097194,8.231131151114483e-12,648.3748004483532,nan,nan
2018-02-10,2018.110883,7.758070548046689e-12,637.1510232601208,nan,nan
2018-02-15,2018.124572,7.935368253698755e-12,638.9587719285522,nan,nan
2018-02-20,2018.138261,1.0122208799446283e-11,678.6959019808763,nan,nan
2018-02-25,2018.151951,7.36846909192281e-12,622.4512700322992,nan,nan
2018-03-02,2018.165640,8.749215495918051e-12,647.4259374989588,nan,nan
2018-03-07,2018.179329,1.0367134740010137e-11,673.9501004170697,nan,nan
2018-03-12,2018.193018,9.213213043032111e-12,650.484217670026,nan,nan
2018-03-17,2018.206708,1.4891602252043474e-11,739.9391317928091,nan,nan
2018-03-22,2018.220397,8.263580058074664e-12,627.9235249741134,nan,nan
2018-03-27,2018.234086,1.0961772054302474e-11,673.522222846754,nan,nan
2018-04-01,2018.247775,9.802561375556958e-12,652.3416468053463,nan,nan
2018-04-06,2018.261465,1.3930285650406744e-11,716.6204604226909,nan,nan
2018-04-11,2018.275154,1.417241687617406e-11,719.4796615625826,nan,nan
2018-04-16,2018.288843,1.0511327635502046e-11,663.0806700620683,nan,nan
2018-04-21,2018.302533,1.606191504812924e-11,748.1087108405493,nan,nan
2018-04-26,2018.316222,9.320604680194495e-12,645.3026921433544,nan,nan
2018-05-01,2018.329911,1.1831861186337548e-11,689.9196621635655,nan,nan
2018-05-06,2018.343600,1.742917100611766e-11,775.720087152836,nan,nan
2018-05-11,2018.357290,1.3811225226351997e-11,727.8982286867332,nan,nan
2018-05-16,2018.370979,1.0177165897278391e-11,672.8351543727043,nan,nan
2018-05-21,2018.384668,9.598144789445364e-12,666.8356083818601,nan,nan
2018-05-26,2018.398357,8.510363851796945e-12,650.6923909060914,nan,nan
2018-05-31,2018.412047,9.773392702035087e-12,680.1138885511862,nan,nan
2018-06-05,2018.425736,9.643930034211494e-12,682.6360073396982,nan,nan
2018-06-10,2018.439425,8.936740404182384e-12,673.7585033847242,nan,nan
2018-06-15,2018.453114,8.754626903396774e-12,674.7759983664823,nan,nan
2018-06-20,2018.466804,8.803221244206081e-12,680.411782091551,nan,nan
2018-06-25,2018.480493,9.016614859574668e-12,689.4260122180788,nan,nan
2018-06-30,2018.494182,8.211212624045698e-12,675.7796089845765,nan,nan
2018-07-05,2018.507871,7.580923955696814e-12,664.3152815820224,nan,nan
2018-07-10,2018.521561,6.802058244142729e-12,647.6873122589454,nan,nan
2018-07-15,2018.535250,7.994863528948073e-12,677.671007011965,nan,nan
